epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,101.6,1.08099,0.49061,0.80749,0.99357,1,0.995,0.62686,1.35599,0.54198,0.8978,0.000627292,0.000627292,0.000627292
65,103.203,1.07449,0.48899,0.80574,0.99336,1,0.995,0.69378,1.17829,0.49163,0.87713,0.000610789,0.000610789,0.000610789
66,104.797,1.02016,0.47251,0.81996,0.98053,0.99724,0.995,0.66738,1.33538,0.48154,0.88307,0.000594286,0.000594286,0.000594286
67,106.417,1.11498,0.50868,0.80613,0.9869,0.99758,0.995,0.62539,1.38332,0.49568,0.89392,0.000577782,0.000577782,0.000577782
68,107.998,1.08329,0.4822,0.80911,0.99335,1,0.995,0.64473,1.31557,0.47943,0.88126,0.000561279,0.000561279,0.000561279
69,109.55,1.04063,0.45725,0.81061,0.98767,1,0.995,0.64573,1.34041,0.56912,0.87992,0.000544776,0.000544776,0.000544776
70,111.107,1.04339,0.4659,0.81768,0.98954,1,0.995,0.60924,1.35531,0.59104,0.88685,0.000528272,0.000528272,0.000528272
71,112.69,1.08616,0.49316,0.81745,0.96941,1,0.995,0.61789,1.37069,0.5904,0.91503,0.000511769,0.000511769,0.000511769
72,114.289,1.02487,0.4632,0.80787,0.99345,1,0.995,0.67265,1.23036,0.49509,0.88002,0.000495266,0.000495266,0.000495266
73,115.837,1.06295,0.47139,0.80763,0.98768,1,0.995,0.64921,1.35127,0.49771,0.88774,0.000478762,0.000478762,0.000478762
74,117.386,1.04502,0.47319,0.81556,0.99478,1,0.995,0.64868,1.25548,0.50137,0.87428,0.000462259,0.000462259,0.000462259
75,118.981,0.97223,0.44391,0.79861,0.99401,1,0.995,0.61692,1.31347,0.51988,0.87996,0.000445756,0.000445756,0.000445756
76,120.532,1.01829,0.45228,0.8055,0.99495,1,0.995,0.6384,1.31343,0.49861,0.87888,0.000429253,0.000429253,0.000429253
77,122.113,1.0452,0.47765,0.81183,0.99486,1,0.995,0.62663,1.31661,0.50656,0.87643,0.000412749,0.000412749,0.000412749
78,123.675,1.05227,0.46323,0.81292,0.99612,1,0.995,0.64481,1.35324,0.5067,0.87941,0.000396246,0.000396246,0.000396246
79,125.24,1.01071,0.45452,0.82227,0.99563,1,0.995,0.63281,1.35312,0.51618,0.88209,0.000379743,0.000379743,0.000379743
80,126.813,1.01036,0.46688,0.8088,0.99465,1,0.995,0.63079,1.33952,0.47939,0.87795,0.000363239,0.000363239,0.000363239
81,128.398,0.99146,0.4406,0.80636,0.99661,1,0.995,0.64555,1.295,0.50642,0.89457,0.000346736,0.000346736,0.000346736
82,129.983,1.01201,0.43603,0.81933,0.9894,1,0.995,0.68295,1.22317,0.4792,0.87667,0.000330233,0.000330233,0.000330233
83,131.597,1.0137,0.45277,0.81063,0.99553,1,0.995,0.65172,1.26715,0.47476,0.87853,0.000313729,0.000313729,0.000313729
84,133.209,0.95106,0.42997,0.80733,0.99694,1,0.995,0.67228,1.28399,0.47976,0.87701,0.000297226,0.000297226,0.000297226
85,134.778,1.01996,0.43394,0.81375,0.99146,1,0.995,0.67275,1.3012,0.47251,0.87722,0.000280723,0.000280723,0.000280723
86,136.337,0.97666,0.43649,0.80879,0.99624,1,0.995,0.67707,1.28042,0.4901,0.88045,0.00026422,0.00026422,0.00026422
87,137.891,0.98608,0.43222,0.796,0.99398,1,0.995,0.67057,1.27911,0.48595,0.87672,0.000247716,0.000247716,0.000247716
88,139.45,0.95785,0.43607,0.81365,0.99526,1,0.995,0.66985,1.23418,0.48141,0.86752,0.000231213,0.000231213,0.000231213
89,140.994,0.95493,0.43404,0.81638,0.99541,1,0.995,0.68384,1.25363,0.46685,0.87201,0.00021471,0.00021471,0.00021471
90,142.571,0.96299,0.42706,0.80285,0.99596,1,0.995,0.65014,1.2556,0.47456,0.87899,0.000198206,0.000198206,0.000198206
91,144.614,0.95648,0.42678,0.80259,0.99562,1,0.995,0.68481,1.2704,0.48547,0.87936,0.000181703,0.000181703,0.000181703
92,146.118,0.90982,0.39448,0.81557,0.99397,1,0.995,0.67433,1.29406,0.49109,0.8764,0.0001652,0.0001652,0.0001652
93,147.63,0.9217,0.41591,0.8051,0.9912,1,0.995,0.67675,1.34036,0.47516,0.87785,0.000148696,0.000148696,0.000148696
94,149.177,0.9249,0.41194,0.79612,0.99229,1,0.995,0.68364,1.30066,0.45186,0.87867,0.000132193,0.000132193,0.000132193
95,150.683,0.91416,0.40555,0.80412,0.99044,1,0.995,0.67268,1.28096,0.47818,0.88377,0.00011569,0.00011569,0.00011569
96,152.204,0.93669,0.41891,0.80084,0.99494,1,0.995,0.65983,1.28014,0.47127,0.88518,9.91865e-05,9.91865e-05,9.91865e-05
97,153.753,0.88988,0.41099,0.80792,0.99488,1,0.995,0.68366,1.28419,0.46767,0.8759,8.26832e-05,8.26832e-05,8.26832e-05
98,155.295,0.91457,0.40385,0.80532,0.99301,1,0.995,0.6766,1.28697,0.47316,0.87589,6.61799e-05,6.61799e-05,6.61799e-05
99,156.83,0.90813,0.40696,0.81068,0.99589,1,0.995,0.66475,1.30027,0.48042,0.87948,4.96766e-05,4.96766e-05,4.96766e-05
100,158.379,0.90387,0.41078,0.80545,0.99608,1,0.995,0.65336,1.30064,0.47158,0.88075,3.31733e-05,3.31733e-05,3.31733e-05
