epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,557.295,1.10187,2.57419,0.65546,0.97727,0.77699,0.55225,0.64263,0.39735,0.68513,0.43698,0.50998,0.24355,1.22231,3.0368,0.73028,1.02311,0.0012278,0.0012278,0.0012278
41,570.525,1.0945,2.57124,0.64793,0.97335,0.77401,0.55862,0.649,0.40223,0.65144,0.42105,0.48568,0.23306,1.20178,2.98349,0.72644,1.01425,0.001208,0.001208,0.001208
42,584.278,1.0863,2.54622,0.64559,0.97098,0.77292,0.55817,0.64017,0.39965,0.67883,0.41878,0.48221,0.23525,1.21291,2.96172,0.74087,1.01716,0.0011882,0.0011882,0.0011882
43,597.517,1.09211,2.54173,0.64365,0.9687,0.76953,0.55271,0.63662,0.39217,0.68369,0.41241,0.48319,0.23169,1.21628,2.96915,0.77435,1.02543,0.0011684,0.0011684,0.0011684
44,611.178,1.07772,2.52129,0.63914,0.96999,0.76626,0.56651,0.65426,0.40533,0.67321,0.40695,0.47932,0.2337,1.21564,2.91422,0.7299,1.01207,0.0011486,0.0011486,0.0011486
45,625.246,1.08296,2.54794,0.64309,0.96886,0.77471,0.54766,0.64052,0.40135,0.6876,0.42454,0.49798,0.24359,1.21382,2.93938,0.72341,1.02441,0.0011288,0.0011288,0.0011288
46,638.795,1.08436,2.53039,0.63538,0.96481,0.77477,0.55148,0.64045,0.39599,0.66887,0.44532,0.50653,0.24675,1.22478,2.92103,0.72587,1.02667,0.001109,0.001109,0.001109
47,651.987,1.0803,2.52241,0.63693,0.96609,0.78327,0.55104,0.64177,0.40256,0.68642,0.43288,0.51023,0.25029,1.19952,2.95562,0.71861,1.01355,0.0010892,0.0010892,0.0010892
48,665.494,1.07165,2.50742,0.63055,0.96463,0.78637,0.55362,0.64154,0.39982,0.69507,0.41893,0.49103,0.23586,1.21447,2.94942,0.71867,1.0284,0.0010694,0.0010694,0.0010694
49,678.433,1.07425,2.50911,0.63213,0.96653,0.79558,0.55377,0.64166,0.4016,0.6959,0.43283,0.50527,0.24682,1.21235,2.9223,0.71966,1.02017,0.0010496,0.0010496,0.0010496
50,693.222,1.06922,2.51348,0.63295,0.96705,0.77747,0.56065,0.64697,0.40383,0.65837,0.41756,0.47824,0.22738,1.19416,2.96156,0.72886,1.01327,0.0010298,0.0010298,0.0010298
51,706.522,1.05812,2.49363,0.62432,0.96221,0.80133,0.56346,0.65675,0.40809,0.68883,0.44487,0.51429,0.25054,1.19912,2.92787,0.70542,1.01304,0.00101,0.00101,0.00101
52,719.211,1.05861,2.48667,0.62602,0.96178,0.7885,0.55867,0.65127,0.40099,0.6867,0.42393,0.49882,0.23982,1.20993,2.94979,0.71741,1.02095,0.0009902,0.0009902,0.0009902
53,732.455,1.06934,2.49336,0.6279,0.96256,0.77297,0.5562,0.64685,0.39751,0.66062,0.41866,0.48307,0.23358,1.21292,2.96423,0.73793,1.02355,0.0009704,0.0009704,0.0009704
54,746.525,1.05954,2.47359,0.62209,0.95947,0.78874,0.56211,0.65572,0.40585,0.65743,0.44684,0.5073,0.24705,1.21574,2.92142,0.71234,1.0192,0.0009506,0.0009506,0.0009506
