epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,96.1935,0.59799,0.43167,1.0244,0.94575,0.94244,0.97012,0.75595,0.84719,0.5074,0.91947,0.0007922,0.0007922,0.0007922
63,97.7266,0.60116,0.42564,1.02443,1,0.91614,0.96878,0.76828,0.78527,0.46459,0.92633,0.0007724,0.0007724,0.0007724
64,99.2341,0.62571,0.41962,1.01998,0.94536,0.93539,0.97165,0.78318,0.66923,0.44627,0.88961,0.0007526,0.0007526,0.0007526
65,100.764,0.59896,0.42823,1.02424,0.93996,0.91892,0.96106,0.80825,0.61387,0.50083,0.82062,0.0007328,0.0007328,0.0007328
66,102.316,0.60947,0.44127,1.02165,0.96995,0.91892,0.96206,0.76851,0.7152,0.4344,0.90555,0.000713,0.000713,0.000713
67,103.862,0.57975,0.41201,1.00736,0.93836,0.91892,0.96266,0.74346,0.72736,0.42134,0.88274,0.0006932,0.0006932,0.0006932
68,105.365,0.54599,0.39365,0.98839,0.94175,0.91892,0.96747,0.79205,0.57418,0.3778,0.78703,0.0006734,0.0006734,0.0006734
69,106.877,0.55375,0.40027,1.00864,0.91355,0.91892,0.96203,0.79148,0.68527,0.48401,0.84337,0.0006536,0.0006536,0.0006536
70,108.416,0.5653,0.40446,1.0037,0.94276,0.89026,0.95827,0.75469,0.81245,0.54622,0.94511,0.0006338,0.0006338,0.0006338
71,109.956,0.5329,0.39353,0.99457,1,0.97096,0.9781,0.79926,0.74698,0.445,0.97944,0.000614,0.000614,0.000614
72,111.49,0.5407,0.40101,1.00477,0.96961,0.94595,0.95935,0.80211,0.61171,0.43044,0.81736,0.0005942,0.0005942,0.0005942
73,113.077,0.54522,0.39112,0.99631,0.96818,0.89189,0.95161,0.78046,0.70592,0.42878,0.88739,0.0005744,0.0005744,0.0005744
74,114.718,0.56496,0.40586,1.0095,0.91627,0.88742,0.91383,0.75821,0.7029,0.51304,0.93629,0.0005546,0.0005546,0.0005546
75,116.328,0.54753,0.39672,0.9916,0.9981,0.97297,0.9763,0.80165,0.66796,0.47644,0.82533,0.0005348,0.0005348,0.0005348
76,117.92,0.54201,0.37281,1.00807,0.97264,0.97297,0.97615,0.80099,0.65448,0.43851,0.84384,0.000515,0.000515,0.000515
77,119.548,0.56228,0.39172,1.00091,0.94581,0.94351,0.97136,0.80319,0.59126,0.43232,0.79315,0.0004952,0.0004952,0.0004952
78,121.172,0.52212,0.37474,1.00179,0.99983,0.94595,0.977,0.77174,0.71243,0.44195,0.87468,0.0004754,0.0004754,0.0004754
79,122.804,0.54444,0.39609,1.00713,0.94683,0.97297,0.96986,0.7929,0.65448,0.43395,0.84416,0.0004556,0.0004556,0.0004556
80,124.453,0.50245,0.36846,0.98644,0.99626,0.97297,0.9781,0.80129,0.67079,0.41431,0.89612,0.0004358,0.0004358,0.0004358
81,126.05,0.51292,0.36543,0.97928,0.94241,0.91892,0.96622,0.81101,0.57476,0.40318,0.81064,0.000416,0.000416,0.000416
82,127.716,0.53201,0.37458,0.99036,0.94415,0.91394,0.96542,0.80421,0.60442,0.40428,0.83446,0.0003962,0.0003962,0.0003962
83,129.376,0.52828,0.36326,0.98077,0.96876,0.89189,0.95157,0.80093,0.58912,0.42131,0.80579,0.0003764,0.0003764,0.0003764
84,131.003,0.49784,0.35407,0.97443,0.96694,0.89189,0.96545,0.78737,0.65768,0.45086,0.85519,0.0003566,0.0003566,0.0003566
85,132.641,0.50748,0.3652,0.9781,0.99791,0.91892,0.96443,0.7859,0.64467,0.42833,0.84689,0.0003368,0.0003368,0.0003368
86,134.247,0.47633,0.34198,0.97155,0.94579,0.94305,0.96955,0.78057,0.64021,0.41538,0.83953,0.000317,0.000317,0.000317
87,135.885,0.49132,0.34932,0.97492,0.96812,0.91892,0.95247,0.75317,0.74004,0.46541,0.97963,0.0002972,0.0002972,0.0002972
88,137.525,0.47243,0.33207,0.9674,0.96555,0.91892,0.94399,0.74917,0.72858,0.51145,0.91143,0.0002774,0.0002774,0.0002774
89,139.174,0.47698,0.34782,0.96764,0.94573,0.94201,0.96207,0.78297,0.65961,0.44288,0.85141,0.0002576,0.0002576,0.0002576
90,140.795,0.5004,0.35245,0.98451,0.96877,0.91892,0.95859,0.79536,0.66853,0.46222,0.88175,0.0002378,0.0002378,0.0002378
91,142.894,0.45228,0.31342,0.97188,0.91677,0.94595,0.96771,0.79483,0.72105,0.44014,0.95292,0.000218,0.000218,0.000218
92,144.495,0.43367,0.28369,0.97168,0.94568,0.94595,0.96562,0.80792,0.64376,0.41665,0.87022,0.0001982,0.0001982,0.0001982
93,146.092,0.42071,0.27626,0.93649,0.94553,0.94595,0.96554,0.81387,0.61908,0.41849,0.84016,0.0001784,0.0001784,0.0001784
94,147.719,0.40651,0.26279,0.95995,0.97209,0.9416,0.9663,0.80571,0.65888,0.42475,0.86267,0.0001586,0.0001586,0.0001586
95,149.328,0.3999,0.25799,0.95258,0.96569,0.94595,0.96479,0.79102,0.63176,0.41794,0.85321,0.0001388,0.0001388,0.0001388
96,150.909,0.4037,0.25347,0.95802,0.91904,0.94595,0.96518,0.809,0.62314,0.3988,0.83759,0.000119,0.000119,0.000119
97,152.522,0.39289,0.25189,0.95858,0.87763,0.96922,0.96596,0.79658,0.66492,0.41763,0.87889,9.92e-05,9.92e-05,9.92e-05
98,154.091,0.38583,0.25042,0.94357,0.9705,0.94595,0.97264,0.78455,0.66747,0.42062,0.8709,7.94e-05,7.94e-05,7.94e-05
99,155.667,0.38676,0.24959,0.94911,0.99828,0.94595,0.97567,0.78676,0.6902,0.44892,0.87687,5.96e-05,5.96e-05,5.96e-05
100,157.224,0.38205,0.25624,0.94317,1,0.94518,0.97586,0.79434,0.67186,0.4397,0.86423,3.98e-05,3.98e-05,3.98e-05
