epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,711.916,0.43458,0.61967,0.26951,0.94347,0.98769,0.99394,0.99093,0.94742,0.98317,0.98939,0.98919,0.93249,0.30304,0.55011,0.20703,0.81184,0.0006338,0.0006338,0.0006338
71,721.905,0.44261,0.62702,0.2657,0.95131,0.99187,0.99242,0.99036,0.94502,0.98884,0.98939,0.98764,0.92603,0.31303,0.57242,0.21117,0.82549,0.000614,0.000614,0.000614
72,732.181,0.43794,0.63008,0.26026,0.94621,0.99143,0.99242,0.99052,0.94023,0.98537,0.98636,0.9862,0.92426,0.31532,0.54748,0.20977,0.8237,0.0005942,0.0005942,0.0005942
73,742.377,0.42795,0.60123,0.2561,0.93549,0.99243,0.99288,0.99131,0.94293,0.9894,0.98985,0.98824,0.9253,0.31456,0.54855,0.20543,0.81757,0.0005744,0.0005744,0.0005744
74,752.564,0.43254,0.60874,0.25646,0.94111,0.99094,0.99388,0.99067,0.94823,0.98685,0.98939,0.99032,0.92559,0.31488,0.57969,0.20068,0.82317,0.0005546,0.0005546,0.0005546
75,762.607,0.43387,0.62773,0.25624,0.94453,0.99105,0.99242,0.98914,0.94279,0.98651,0.98788,0.9879,0.92523,0.3284,0.57742,0.21747,0.83642,0.0005348,0.0005348,0.0005348
76,772.76,0.43351,0.62075,0.2597,0.94206,0.99544,0.99219,0.99087,0.94484,0.99088,0.98764,0.98903,0.92378,0.30964,0.56958,0.2098,0.81361,0.000515,0.000515,0.000515
77,782.897,0.42896,0.61479,0.25544,0.93871,0.98829,0.99394,0.98845,0.94293,0.98377,0.98939,0.98667,0.92357,0.3132,0.56741,0.2113,0.81888,0.0004952,0.0004952,0.0004952
78,793.115,0.42053,0.603,0.25243,0.93131,0.98938,0.99545,0.98958,0.94673,0.98787,0.99394,0.98955,0.9255,0.30925,0.56295,0.20261,0.8185,0.0004754,0.0004754,0.0004754
79,802.598,0.43001,0.61096,0.25364,0.94312,0.99201,0.99394,0.99042,0.94132,0.99049,0.99242,0.98892,0.92445,0.3092,0.55815,0.19565,0.82323,0.0004556,0.0004556,0.0004556
