epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,453.85,0.44984,0.63352,0.27664,0.94497,0.99091,0.99073,0.99085,0.92914,0.98939,0.98921,0.98917,0.91652,0.34295,0.634,0.22891,0.8597,0.0009506,0.0009506,0.0009506
55,461.861,0.46457,0.64872,0.28318,0.9586,0.99319,0.99545,0.99229,0.93366,0.98563,0.98788,0.99061,0.90529,0.34687,0.62273,0.23596,0.84644,0.0009308,0.0009308,0.0009308
56,469.891,0.45227,0.64161,0.27448,0.95583,0.99085,0.98474,0.99112,0.93566,0.98628,0.98019,0.98968,0.91286,0.3458,0.62245,0.22679,0.84289,0.000911,0.000911,0.000911
57,477.923,0.45506,0.63187,0.26946,0.95317,0.98415,0.98636,0.98847,0.9256,0.97885,0.98191,0.98616,0.88574,0.36464,0.62815,0.24715,0.85798,0.0008912,0.0008912,0.0008912
58,485.944,0.43951,0.62047,0.27014,0.94772,0.9894,0.99394,0.99114,0.9386,0.98721,0.98939,0.98952,0.91534,0.33969,0.57575,0.23898,0.82255,0.0008714,0.0008714,0.0008714
59,493.963,0.44989,0.64191,0.2736,0.95129,0.98832,0.98939,0.99167,0.93896,0.9872,0.98788,0.9903,0.90173,0.36087,0.59835,0.23101,0.84121,0.0008516,0.0008516,0.0008516
60,501.973,0.44462,0.64024,0.26899,0.94846,0.98645,0.99305,0.99175,0.93839,0.98344,0.99002,0.99063,0.92339,0.35792,0.58692,0.23968,0.86266,0.0008318,0.0008318,0.0008318
61,510.02,0.44636,0.63102,0.26716,0.95117,0.9842,0.99242,0.98819,0.93724,0.9804,0.98788,0.98649,0.91043,0.34604,0.57828,0.23607,0.83881,0.000812,0.000812,0.000812
62,518.57,0.44534,0.63467,0.26711,0.9514,0.9894,0.98985,0.98978,0.93555,0.98788,0.98834,0.98817,0.92081,0.34715,0.59277,0.23009,0.83947,0.0007922,0.0007922,0.0007922
63,527.062,0.44983,0.6357,0.26942,0.94502,0.98795,0.99363,0.99077,0.94073,0.98494,0.9906,0.98845,0.91894,0.33125,0.59663,0.21898,0.84085,0.0007724,0.0007724,0.0007724
64,535.687,0.43841,0.61759,0.25958,0.94413,0.99091,0.99068,0.98915,0.93815,0.98636,0.98614,0.98723,0.91867,0.3308,0.55238,0.22967,0.83138,0.0007526,0.0007526,0.0007526
65,544.125,0.42302,0.60741,0.25589,0.93725,0.98536,0.99091,0.99174,0.94948,0.98385,0.98939,0.9904,0.93243,0.33257,0.55674,0.24391,0.82875,0.0007328,0.0007328,0.0007328
66,552.499,0.42691,0.60658,0.25953,0.93611,0.98955,0.99091,0.9924,0.94265,0.9864,0.98875,0.99152,0.92727,0.33674,0.5593,0.23418,0.82981,0.000713,0.000713,0.000713
67,560.926,0.43284,0.6151,0.2604,0.9402,0.99156,0.99242,0.99174,0.94545,0.98853,0.98939,0.99028,0.93095,0.32969,0.58654,0.20445,0.845,0.0006932,0.0006932,0.0006932
68,569.314,0.42444,0.59609,0.25635,0.94067,0.99093,0.99375,0.99252,0.93936,0.98734,0.99242,0.99228,0.92323,0.35641,0.54171,0.2347,0.85033,0.0006734,0.0006734,0.0006734
69,577.687,0.43142,0.61552,0.25527,0.93903,0.99091,0.9909,0.99149,0.94014,0.98636,0.98636,0.98964,0.9285,0.33412,0.57319,0.2283,0.8289,0.0006536,0.0006536,0.0006536
70,586.07,0.42412,0.59615,0.25235,0.94042,0.98792,0.99131,0.98903,0.93777,0.98448,0.98636,0.98655,0.91679,0.32321,0.5735,0.21851,0.82575,0.0006338,0.0006338,0.0006338
71,594.906,0.42312,0.59872,0.25343,0.93458,0.99094,0.99387,0.99042,0.94165,0.9864,0.98933,0.9882,0.92443,0.32323,0.57932,0.20504,0.83639,0.000614,0.000614,0.000614
72,603.774,0.42351,0.60803,0.24733,0.93484,0.99356,0.99394,0.99016,0.94274,0.99204,0.99242,0.98907,0.92317,0.33194,0.5639,0.1992,0.83933,0.0005942,0.0005942,0.0005942
73,612.699,0.42127,0.60355,0.25059,0.93037,0.99241,0.9909,0.99219,0.94217,0.9909,0.98938,0.99111,0.91452,0.32548,0.58866,0.22212,0.82516,0.0005744,0.0005744,0.0005744
74,621.615,0.41832,0.5991,0.25154,0.93726,0.98942,0.99224,0.99164,0.94295,0.98791,0.99073,0.99001,0.92583,0.32138,0.54515,0.21299,0.82203,0.0005546,0.0005546,0.0005546
75,630.446,0.41329,0.6026,0.24864,0.93003,0.98822,0.99242,0.99099,0.93866,0.98671,0.99091,0.9887,0.91176,0.32677,0.58187,0.22765,0.83926,0.0005348,0.0005348,0.0005348
76,639.393,0.41706,0.59701,0.24769,0.9322,0.98789,0.98888,0.9886,0.94503,0.98486,0.98585,0.98695,0.92469,0.31464,0.55853,0.20818,0.82214,0.000515,0.000515,0.000515
77,648.292,0.41781,0.60193,0.24643,0.93577,0.98919,0.99545,0.99161,0.94523,0.98468,0.99091,0.9901,0.92833,0.32248,0.57678,0.21946,0.83385,0.0004952,0.0004952,0.0004952
78,657.308,0.41214,0.59069,0.24305,0.92572,0.99244,0.99495,0.99223,0.9422,0.98791,0.99059,0.99027,0.91958,0.34549,0.59497,0.24515,0.85091,0.0004754,0.0004754,0.0004754
79,666.194,0.41105,0.58853,0.24209,0.92812,0.98943,0.99295,0.99353,0.95062,0.98641,0.98992,0.99243,0.92894,0.3265,0.58601,0.21261,0.83405,0.0004556,0.0004556,0.0004556
80,674.967,0.41129,0.59335,0.2445,0.93244,0.99105,0.99394,0.99263,0.94885,0.99037,0.99091,0.99127,0.93187,0.335,0.56588,0.21081,0.84595,0.0004358,0.0004358,0.0004358
81,683.722,0.40617,0.58082,0.23911,0.92913,0.99243,0.99374,0.98978,0.94677,0.98941,0.99071,0.98797,0.93372,0.32275,0.55885,0.19931,0.82666,0.000416,0.000416,0.000416
82,692.506,0.40629,0.57137,0.23324,0.92578,0.99207,0.99394,0.9909,0.95149,0.98905,0.99091,0.99002,0.93681,0.30859,0.56171,0.1996,0.81654,0.0003962,0.0003962,0.0003962
83,701.08,0.40843,0.57495,0.2403,0.92692,0.99395,0.99527,0.99222,0.95605,0.98914,0.99394,0.99106,0.94149,0.31011,0.57146,0.18816,0.823,0.0003764,0.0003764,0.0003764
84,709.548,0.40694,0.57082,0.24051,0.92667,0.98496,0.99227,0.9928,0.95559,0.98346,0.99076,0.99222,0.93265,0.31026,0.57042,0.20476,0.82189,0.0003566,0.0003566,0.0003566
85,717.896,0.40681,0.58503,0.23931,0.93155,0.98794,0.99321,0.98957,0.95466,0.98493,0.99018,0.9877,0.93805,0.29826,0.56919,0.19274,0.81203,0.0003368,0.0003368,0.0003368
86,726.314,0.39405,0.55812,0.22926,0.92053,0.99243,0.99333,0.9902,0.95374,0.99092,0.99182,0.98864,0.93796,0.29948,0.55964,0.19421,0.81608,0.000317,0.000317,0.000317
87,734.808,0.39555,0.5675,0.22739,0.92385,0.98885,0.99394,0.99026,0.95593,0.98461,0.98939,0.98909,0.93919,0.29593,0.54186,0.18691,0.81103,0.0002972,0.0002972,0.0002972
88,743.222,0.40521,0.57171,0.23326,0.93019,0.99029,0.99394,0.9915,0.95688,0.98727,0.99091,0.98996,0.94018,0.30339,0.5424,0.18184,0.8202,0.0002774,0.0002774,0.0002774
89,751.728,0.39771,0.57907,0.22818,0.92344,0.99256,0.98788,0.99054,0.95734,0.98799,0.98333,0.98931,0.93948,0.3088,0.56295,0.18785,0.82319,0.0002576,0.0002576,0.0002576
90,760.264,0.39899,0.56592,0.22752,0.92571,0.99037,0.99242,0.99207,0.95867,0.98886,0.99091,0.99092,0.9443,0.30671,0.56649,0.1858,0.82252,0.0002378,0.0002378,0.0002378
91,770.206,0.23224,0.39884,0.16701,0.87262,0.98876,0.99242,0.99064,0.95222,0.98939,0.98876,0.98946,0.93304,0.31306,0.57111,0.20112,0.83496,0.000218,0.000218,0.000218
92,778.599,0.22435,0.3739,0.14203,0.87177,0.98713,0.99242,0.99062,0.95566,0.99003,0.98333,0.98899,0.93714,0.31391,0.58298,0.19507,0.83356,0.0001982,0.0001982,0.0001982
93,786.817,0.22404,0.37871,0.14477,0.87165,0.98918,0.99394,0.99095,0.95755,0.98192,0.98766,0.98847,0.94043,0.30608,0.588,0.19549,0.82387,0.0001784,0.0001784,0.0001784
94,795.317,0.21572,0.37378,0.13638,0.86708,0.99039,0.99394,0.99209,0.9585,0.98447,0.98788,0.99084,0.94009,0.29306,0.59935,0.18808,0.81148,0.0001586,0.0001586,0.0001586
95,803.758,0.21469,0.36668,0.13309,0.8566,0.98762,0.99242,0.99207,0.96028,0.9831,0.98788,0.99087,0.94358,0.29879,0.59763,0.18633,0.81652,0.0001388,0.0001388,0.0001388
96,812.074,0.21244,0.36753,0.12905,0.86284,0.98794,0.99289,0.99205,0.96034,0.9789,0.99091,0.99039,0.94457,0.30397,0.59228,0.17804,0.82873,0.000119,0.000119,0.000119
97,820.791,0.20856,0.35616,0.12597,0.85501,0.98942,0.99193,0.99269,0.96418,0.98483,0.98636,0.99177,0.94734,0.29325,0.59307,0.18211,0.8138,9.92e-05,9.92e-05,9.92e-05
98,829.356,0.20373,0.35696,0.12272,0.85996,0.9879,0.98947,0.99181,0.96207,0.98786,0.98607,0.99081,0.94594,0.29909,0.59799,0.18187,0.82088,7.94e-05,7.94e-05,7.94e-05
99,837.756,0.20472,0.35888,0.12182,0.85117,0.98905,0.99394,0.99173,0.96296,0.9805,0.99066,0.99059,0.94702,0.29689,0.59292,0.17917,0.81663,5.96e-05,5.96e-05,5.96e-05
100,846.176,0.20286,0.35359,0.12099,0.85396,0.98767,0.99394,0.99133,0.96222,0.98048,0.98959,0.99008,0.94732,0.29748,0.59179,0.17639,0.81914,3.98e-05,3.98e-05,3.98e-05
